Date_Key,Date,Day,Week_No,Month,Month_No,Quarter,Year
20050101,01-01-2005,Saturday,1,Jan,1,1,2005
20050102,02-01-2005,Sunday,2,Jan,1,1,2005
20050103,03-01-2005,Monday,2,Jan,1,1,2005
20050104,04-01-2005,Tuesday,2,Jan,1,1,2005
20050105,05-01-2005,Wednesday,2,Jan,1,1,2005
20050106,06-01-2005,Thursday,2,Jan,1,1,2005
20050107,07-01-2005,Friday,2,Jan,1,1,2005
20050108,08-01-2005,Saturday,2,Jan,1,1,2005
20050109,09-01-2005,Sunday,3,Jan,1,1,2005
20050110,10-01-2005,Monday,3,Jan,1,1,2005
20050111,11-01-2005,Tuesday,3,Jan,1,1,2005
20050112,12-01-2005,Wednesday,3,Jan,1,1,2005
20050113,13-01-2005,Thursday,3,Jan,1,1,2005
20050114,14-01-2005,Friday,3,Jan,1,1,2005
20050115,15-01-2005,Saturday,3,Jan,1,1,2005
20050116,16-01-2005,Sunday,4,Jan,1,1,2005
20050117,17-01-2005,Monday,4,Jan,1,1,2005
20050118,18-01-2005,Tuesday,4,Jan,1,1,2005
20050119,19-01-2005,Wednesday,4,Jan,1,1,2005
20050120,20-01-2005,Thursday,4,Jan,1,1,2005
20050121,21-01-2005,Friday,4,Jan,1,1,2005
20050122,22-01-2005,Saturday,4,Jan,1,1,2005
20050123,23-01-2005,Sunday,5,Jan,1,1,2005
20050124,24-01-2005,Monday,5,Jan,1,1,2005
20050125,25-01-2005,Tuesday,5,Jan,1,1,2005
20050126,26-01-2005,Wednesday,5,Jan,1,1,2005
20050127,27-01-2005,Thursday,5,Jan,1,1,2005
20050128,28-01-2005,Friday,5,Jan,1,1,2005
20050129,29-01-2005,Saturday,5,Jan,1,1,2005
20050130,30-01-2005,Sunday,6,Jan,1,1,2005
20050131,31-01-2005,Monday,6,Jan,1,1,2005
20050201,01-02-2005,Tuesday,6,Feb,2,1,2005
20050202,02-02-2005,Wednesday,6,Feb,2,1,2005
20050203,03-02-2005,Thursday,6,Feb,2,1,2005
